"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9J3P6YLE","journalArticle","2024","Graafsma, Jetske; Murphy, Rachel M; Van De Garde, Ewoudt M W; Karapinar-Çarkit, Fatma; Derijks, Hieronymus J; Hoge, Rien H L; Klopotowska, Joanna E; Van Den Bemt, Patricia M L A","The use of artificial intelligence to optimize medication alerts generated by clinical decision support systems: a scoping review","Journal of the American Medical Informatics Association","","1067-5027, 1527-974X","10.1093/jamia/ocae076","https://academic.oup.com/jamia/article/31/6/1411/7654019","Abstract                              Objective                Current Clinical Decision Support Systems (CDSSs) generate medication alerts that are of limited clinical value, causing alert fatigue. Artificial Intelligence (AI)-based methods may help in optimizing medication alerts. Therefore, we conducted a scoping review on the current state of the use of AI to optimize medication alerts in a hospital setting. Specifically, we aimed to identify the applied AI methods used together with their performance measures and main outcome measures.                                            Materials and Methods                We searched Medline, Embase, and Cochrane Library database on May 25, 2023 for studies of any quantitative design, in which the use of AI-based methods was investigated to optimize medication alerts generated by CDSSs in a hospital setting. The screening process was supported by ASReview software.                                            Results                Out of 5625 citations screened for eligibility, 10 studies were included. Three studies (30%) reported on both statistical performance and clinical outcomes. The most often reported performance measure was positive predictive value ranging from 9% to 100%. Regarding main outcome measures, alerts optimized using AI-based methods resulted in a decreased alert burden, increased identification of inappropriate or atypical prescriptions, and enabled prediction of user responses. In only 2 studies the AI-based alerts were implemented in hospital practice, and none of the studies conducted external validation.                                            Discussion and Conclusion                AI-based methods can be used to optimize medication alerts in a hospital setting. However, reporting on models’ development and validation should be improved, and external validation and implementation in hospital practice should be encouraged.","2024-05-20","2024-09-05 12:22:04","2025-03-26 09:11:00","2024-09-05 12:22:03","1411-1422","","6","31","","","The use of artificial intelligence to optimize medication alerts generated by clinical decision support systems","","","","","","","en","https://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","","","systematic_review; stefano_checked; scoping_review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YXPLYRNP","preprint","2024","Boesen, K; Hirt, J; Düblin, P; Läubli, H; Kassenda, B; Hemkens, Lg; Janiaud, P","Rationale and design of the Cancer Immunotherapy Evidence Living (CIEL) Library: A continuously updated clinical trial database of cancer immunotherapies","","","","10.1101/2024.04.26.24306436","http://medrxiv.org/lookup/doi/10.1101/2024.04.26.24306436","Abstract                          Background              Immunotherapies for cancers are being tested in large numbers of clinical trials. It is nearly impossible for clinicians and researchers to stay current with the evidence, and traditional systematic reviews and clinical guidelines are not suited to ensure a continued overview of all trials and their results. To address this problem, we have designed a free-to-use, and publicly available database of clinical trials that aims to be continuously updated, the Cancer Immunotherapy Evidence Living (CIEL) Library.                                      Methods                              We aimed to include planned, ongoing, and completed interventional trials of immunotherapies for cancer, regardless of trial design (e.g., randomization, blinding, and type of comparator). We systematically searched PubMed (for published reports) and                ClinicalTrials.gov                (for registered clinical trials). PubMed retrieved records were screened using the AI-assisted software ASReview and manually extracted and curated. We imported data from                ClinicalTrials.gov                using the Clinical Trials Transformation Initiative database which then requires further curation. The CIEL-Library is available and searchable via a web application (                https://app.ciel-library.org/#/                ). It also contains the ‘Match My Patient’ feature, a patient-centered clinical decision support system, which can filter planned, ongoing or completed trials based on four patient characteristics (disease staging, previous treatments, performance status, and location). We piloted our database with one type of cancer immunotherapy, the tumor-infiltrating lymphocytes (TIL) transfer.                                                    Conclusion              The CIEL-Library offers a blueprint for a dynamic evidence synthesis infrastructure providing an exhaustive collection of clinical trials with trial characteristics and results, which can be applied across different fields, specialties, and topics. The Match My Patient search function may be very useful to implement trial research into patient-centered care by helping to find a trial for enrolment of a patient or to find results for making decisions, for example, in tumor boards.              The main challenges to making a continuously updated database of clinical trials are the time and resources needed to populate it with curated and updated data. The CIEL-Library project illustrates the potential and the main limitations to designing such continuously updated trial databases that intent to be directly used in routine care.","2024-04-27","2024-09-05 12:05:21","2025-03-26 09:29:52","2024-09-05 12:05:21","","","","","","","Rationale and design of the Cancer Immunotherapy Evidence Living (CIEL) Library","","","","","","","en","","","","","Oncology","","","","","","systematic_review; stefano_checked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAQ755QJ","preprint","2024","Ritsch, Nina; Bourque, Camille; Bergeron, Frederic; Nazare, Julie-Anne; Dougkas, Anestis; Iceta, Sylvain","Gastric modulation of food reward, olfaction and taste in obesity and bariatric surgery: an artificial intelligence assisted scoping review protocol","","","","10.1101/2024.04.29.24306451","https://www.medrxiv.org/content/10.1101/2024.04.29.24306451v1","Objective To understand the extent and nature of the available research on gastric modulation of food reward, olfaction, and taste in people with obesity or those who have undergone bariatric surgery. Introduction Bariatric surgery-induced weight loss is partially attributed to shifts in food preferences resulting from alterations in sensory perceptions and changes in reward system. The stomach’s innervation and mechanical function have been theorized to play a significant role in these modifications, as suggested by numerous preclinical studies. However, the extent and nature of these connections in clinical settings require further elucidation. Inclusion criteria This review will examine studies on the influence of gastric innervation and/or mechanical function on food reward, olfaction, and taste. Selected studies will include participants of all ages with obesity or bariatric surgery. Both observational studies and controlled experiments will be considered, while study protocols, opinion articles, letters to the editor, book chapters, oral communication or poster abstracts and systematic reviews will be excluded. Methods The search will be undertaken in MEDLINE, Embase, PsycINFO, CINAHL, Web of Science, Google Scholar, and gray literature. No date parameters will be set, and all languages will be considered. Citations will be uploaded into EndNote 20.0 and duplicates removed using Covidence. The remaining studies will be analyzed by 3 reviewers using a two-stage procedure with the ASReview python package. The full-text screening and the data extraction will be conducted by 2 reviewers on Covidence. An additional reviewer will be consulted in the event of disagreement. Tabulated results will be accompanied by a narrative summary.","2024-04-30","2024-09-05 12:03:58","2025-03-26 09:28:11","2024-09-05 12:03:58","","","","","","","Gastric modulation of food reward, olfaction and taste in obesity and bariatric surgery","","","","","medRxiv","","en","© 2024, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution-NonCommercial-NoDerivs 4.0 International), CC BY-NC-ND 4.0, as described at http://creativecommons.org/licenses/by-nc-nd/4.0/","","","","medRxiv","","","","","","systematic_review; scoping_review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BB2R4MF","journalArticle","2024","Quiroga-Centeno, A C; Schaaf, S; Morante, A; Gómez-Ochoa, S A; Stabilini, C","A META-ANALYSIS OF EMERGENCY INCISIONAL HERNIA REPAIR: DO OUTCOMES DIFFER FROM ELECTIVE SURGERY?","British Journal of Surgery","","0007-1323, 1365-2168","10.1093/bjs/znae122.086","https://academic.oup.com/bjs/article/doi/10.1093/bjs/znae122.086/7682878","Abstract                              Background                Incisional hernias (IH) have been progressively recognized as independent entities in the hernia field. However, the same indications for deferred treatment of ventral hernias are generally applied to IH, regardless of the potentially different outcomes. This meta-analysis aims to compare the characteristics and outcomes of patients treated urgently for IH with those undergoing elective surgery.                                            Method                Medline and Scopus were systematically searched from 1990–2023. Original studies comparing patients treated for emergency vs. elective IH were included. Study screening was performed using ASReview®. Data were pooled using random-effects models.                                            Results                Seventeen studies assessing 88,743 patients were included. Emergency IH patients were significantly older (MD 4.51 years; 95%CI 2.38–6.64. I2: 62%), more frequently women (RR 0.76; 95%CI 0.61–0.94. I2: 73%), and had a higher prevalence of ASA score III-IV (RR 1.38; 95%CI 1.03–1.84. I2: 30%). Furthermore, emergency surgery was associated with a longer hospital stay (MD 4.61 days; 95%CI 3.78–5.45. I2: 0%), higher need for reoperation (RR 2.20; 95%CI 1.73–2.80. I2: 0%), and higher mortality (RR 10.06; 95%CI 3.82–26.52. I2: 45%) compared to elective procedures. No differences in hernia recurrence rates or mesh repair were identified.                                            Conclusion                Emergent IH repair was associated with worse postoperative outcomes and higher mortality than elective repair. Nevertheless, scarcity of data precluded the inclusion of additional factors (type of repair, hernia size) and stratified/meta-regression analysis by relevant variables (age, sex, surgical risk). Larger studies are needed to determine predictors and outcomes of emergent repair in IH and appropriately identify patients who may benefit from watchful waiting.","2024-05-27","2024-09-05 12:01:38","2025-03-26 09:05:21","2024-09-05 12:01:38","znae122.086","","Supplement_5","111","","","A META-ANALYSIS OF EMERGENCY INCISIONAL HERNIA REPAIR","","","","","","","en","https://academic.oup.com/pages/standard-publication-reuse-rights","","","","DOI.org (Crossref)","","","","","","systematic_review; stefano_checked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSYLQR47","preprint","2024","Wang, Xue; Luo, Gaoxiang","MetaMate: Large Language Model to the Rescue of Automated Data Extraction for Educational Systematic Reviews and Meta-analyses","","","","10.35542/osf.io/wn3cd","https://osf.io/wn3cd","Systematic reviews and meta-analyses are crucial for synthesizing evidence but are time-consuming and labor-intensive, especially during data extraction. To address this challenge, we developed MetaMate, an open-access web-based tool leveraging large language models (LLMs) for automated data extraction in educational systematic reviews and meta-analyses. MetaMate utilizes a hierarchical schema and divide-and-conquer approach in its extraction chain, and a from-global-to-local lens and example retriever in its verification chain. We evaluated MetaMate’s performance on 32 empirical studies, extracting 20 data elements related to participants and interventions. MetaMate achieved high precision, recall, and F1 scores, with performance comparable to human coders when benchmarked against an expert-defined gold standard. Notably, MetaMate demonstrated advanced mathematical reasoning and semantic comprehension, surpassing keyword-based approaches and avoiding common human errors. As the first LLM-powered data extraction tool designed specifically for educational research, MetaMate has the potential to significantly streamline the systematic review process and reduce time and effort for researchers. MetaMate is available at https://metamate.streamlit.app.","2024-05-02","2024-09-05 11:58:14","2025-03-26 09:18:14","2024-09-05 11:58:13","","","","","","","MetaMate","","","","","","","","https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode","","","","EdArXiv","","","","","","stefano_checked; systematic_reviews_with_LLM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N4VUDL4G","journalArticle","2024","Manzo, Diana S. Hernandez; Jiang, Yang; Elyan, Eyad; Isaacs, John","Artificial Intelligence-Based Conversational Agents Used for Sustainable Fashion: Systematic Literature Review","International Journal of Human–Computer Interaction","","1044-7318, 1532-7590","10.1080/10447318.2024.2352920","https://www.tandfonline.com/doi/full/10.1080/10447318.2024.2352920","","2024-05-23","2024-09-05 11:52:34","2025-03-26 09:06:10","2024-09-05 11:52:34","1-13","","","","","International Journal of Human–Computer Interaction","Artificial Intelligence-Based Conversational Agents Used for Sustainable Fashion","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","systematic_review; stefano_checked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGWWAV8P","journalArticle","2024","Adamse, Ida; Eichelsheim, Veroni; Blokland, Arjan; Schoonmade, Linda","The risk and protective factors for entering organized crime groups and their association with different entering mechanisms: A systematic review using ASReview","European Journal of Criminology","","1477-3708, 1741-2609","10.1177/14773708241250278","https://journals.sagepub.com/doi/10.1177/14773708241250278","The aims of the current systematic review are to provide an overview of the available evidence concerning the risk and protective factors for entering organized crime groups (OCGs), to explore which entry mechanisms for entering OCGs are distinguished in the literature, and to assess whether different sets of risk and protective factors could be identified for each of these entry mechanisms. To achieve these aims, a systematic literature search for qualitative, quantitative, and mixed method studies was performed up to 19 April 2021. To be included in the current review, studies had to be of empirical nature and published in either English or Dutch. ASReview was used to facilitate the inclusion process, a reference check of the included studies was performed, and all included studies in prior reviews on this topic were checked for inclusion. This process resulted in 51 included studies. Relevant study and sample characteristics, information on risk and protective factors, and indicated entry mechanisms were derived from the included studies. In line with earlier reviews, we find relatively strong evidence that being male, belonging to an ethnic minority group, committing certain crimes prior to entry at a young(er) age, committing multiple offenses without being specialized, and having a criminally involved family and/or friends are risk factors for entering OCGs. Entering OCGs occurs via four different entry mechanisms: active recruitment, soliciting for membership, growing into and self-setup. Based on the included studies, the risk and protective factors for entering OCGs that are associated with these different entry mechanisms into OCGs seem to overlap. Although the current review provides grounds to suggest that, in addition to a general set of risk and protective factors for entering OCGs, there might be different risk and protective factors associated with different entry mechanisms, longitudinal prospective studies are needed to substantiate this suggestion.","2024-06-05","2024-09-05 11:38:06","2025-03-26 08:57:53","2024-09-05 11:38:06","14773708241250278","","","","","European Journal of Criminology","The risk and protective factors for entering organized crime groups and their association with different entering mechanisms","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","systematic_review; stefano_checked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQJQHSUN","preprint","2024","Merino-Barbancho, Beatriz; Cipric, Ana; Arroyo, Peña; Rujas, Miguel; Gómez Del Moral Herranz, Rodrigo Martín; Barev, Torben; Ciccone, Nicholas; Fico, Giuseppe","Methods and computational techniques for predicting adherence to treatment: a scoping review","","","","10.1101/2024.06.10.24308540","http://medrxiv.org/lookup/doi/10.1101/2024.06.10.24308540","Abstract                          Background              Treatment non-adherence of patients stands as a major barrier to effectively manage chronic conditions. Treatment adherence can be described as the extent to which a patient’s behavior of taking medications follows the agreed recommendations from the healthcare provider. However, non-adherent behavior is estimated to affect up to 50% of patients with chronic conditions, leading to poorer health outcomes among patients, higher rates of hospitalization, and increased mortality. In fact, 200.000 premature deaths each year in the European Union are related to non-adherence. A promising approach to understand adherence behavior of patients represent artificial intelligence and computational techniques. These techniques can be especially useful in analyzing large amounts of heterogeneous patient data, identifying both inter and intra-relationships between factors and patterns associated with non-adherence.                                      Objective              This study offers a provision of a structured overview of the computational methods and techniques used to build predictive models of treatment adherence of patients.                                      Methodology              A scoping review was conducted, and the following databases were searched to identify relevant publications: PubMed, IEEE and Web of Science. The screening of publications consisted of two steps. First, the hits obtained from the search were independently screened and selected using an open-source machine learning (ML)-aided pipeline applying active learning: ASReview, Active learning for Systematic Reviews. Publications selected for further review were those highly prioritized by ASReview.                                      Results              45 papers were selected into the second round of screening were reviewers performed the full-text screening. The final review included 29 papers. The findings suggest supervised learning (regression and classification) to be the most used analytical approach. Over 54% of adherence topics being related to chronic metabolic conditions such as diabetes, hypertension, and hyperlipidemia. Most assessed predictors were both treatment and socio-demographic and economic-related factors followed by condition-related factors. The selection of a particular computational technique was based on the research question, the type of data available and the desired outcome. A limitation of the reviewed studies is the lack of accountancy for interrelationships between different determinants of adherence behavior. Adherence behavior is a complex phenomenon that is influenced by multiple factors, and it is likely that these factors interact with one another in complex ways.                                      Conclusion              The creation of systems to accurately predict treatment adherence can pave the way for improved therapeutic outcomes, reduced healthcare costs and enabling personalized treatment plans. This paper can support to understand the efforts made in the field of modeling adherence-related factors. In particular, the results provide a structured overview of the computational methods and techniques used to build predictive models of treatment adherence of patients in order to guide future advancements in healthcare.","2024-06-10","2024-09-05 11:36:45","2025-03-26 08:57:10","2024-09-05 11:36:44","","","","","","","Methods and computational techniques for predicting adherence to treatment","","","","","","","en","","","","","Health Informatics","","","","","","systematic_review; stefano_checked; scoping_review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATQN4G9W","journalArticle","2024","Dennstädt, Fabio; Zink, Johannes; Putora, Paul Martin; Hastings, Janna; Cihoric, Nikola","Title and abstract screening for literature reviews using large language models: an exploratory study in the biomedical domain","Systematic Reviews","","2046-4053","10.1186/s13643-024-02575-4","https://systematicreviewsjournal.biomedcentral.com/articles/10.1186/s13643-024-02575-4","Abstract                              Background                Systematically screening published literature to determine the relevant publications to synthesize in a review is a time-consuming and difficult task. Large language models (LLMs) are an emerging technology with promising capabilities for the automation of language-related tasks that may be useful for such a purpose.                                            Methods                LLMs were used as part of an automated system to evaluate the relevance of publications to a certain topic based on defined criteria and based on the title and abstract of each publication. A Python script was created to generate structured prompts consisting of text strings for instruction, title, abstract, and relevant criteria to be provided to an LLM. The relevance of a publication was evaluated by the LLM on a Likert scale (low relevance to high relevance). By specifying a threshold, different classifiers for inclusion/exclusion of publications could then be defined. The approach was used with four different openly available LLMs on ten published data sets of biomedical literature reviews and on a newly human-created data set for a hypothetical new systematic literature review.                                            Results                The performance of the classifiers varied depending on the LLM being used and on the data set analyzed. Regarding sensitivity/specificity, the classifiers yielded 94.48%/31.78% for the FlanT5 model, 97.58%/19.12% for the OpenHermes-NeuralChat model, 81.93%/75.19% for the Mixtral model and 97.58%/38.34% for the Platypus 2 model on the ten published data sets. The same classifiers yielded 100% sensitivity at a specificity of 12.58%, 4.54%, 62.47%, and 24.74% on the newly created data set. Changing the standard settings of the approach (minor adaption of instruction prompt and/or changing the range of the Likert scale from 1–5 to 1–10) had a considerable impact on the performance.                                            Conclusions                LLMs can be used to evaluate the relevance of scientific publications to a certain review topic and classifiers based on such an approach show some promising results. To date, little is known about how well such systems would perform if used prospectively when conducting systematic literature reviews and what further implications this might have. However, it is likely that in the future researchers will increasingly use LLMs for evaluating and classifying scientific publications.","2024-06-15","2024-09-05 11:32:56","2025-03-26 09:16:04","2024-09-05 11:32:55","158","","1","13","","Syst Rev","Title and abstract screening for literature reviews using large language models","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","stefano_checked; systematic_reviews_with_LLM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U773IGIQ","journalArticle","2024","Chan, Yu-Ting; Abad, Jilaine Elliscent; Dibart, Serge; Kernitsky, Jeremy R.","Assessing the article screening efficiency of artificial intelligence for Systematic Reviews","Journal of Dentistry","","03005712","10.1016/j.jdent.2024.105259","https://linkinghub.elsevier.com/retrieve/pii/S0300571224004287","","2024-07-01","2024-09-05 11:27:54","2024-09-05 11:28:07","2024-09-05 11:27:54","105259","","","149","","Journal of Dentistry","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
